=== model-lab :: living weights on RTX 5090 (own CUDA engine) ===
merkle verify: 40.8 ms
LOAD q8 ok content_id=8ccc1709ddf54384 mismatches=0
GPU: NVIDIA GeForce RTX 5090 | own-kernel path (NVRTC JIT, no cuBLAS)
PTX cache hit assets/ptx-cache/44f40e20f375eb99ddf8821405e0297d.ptx (0 ms)
PARITY cpu_vs_gpu positions<=12 max_abs_logit_diff=0.000351 argmax_agree=100%
FACTS f1_word=lantern f2_word=cavern
BASELINE fact1_rank=30413 p=3.55e-8 | fact2_rank=10475 p=6.72e-7 | heldout_nll=3.5694
EPOCH 54 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 55 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 56 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 57 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 58 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 59 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 60 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 61 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 62 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 63 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 64 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 65 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 66 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 67 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 68 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 69 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 70 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 71 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 72 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 73 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 74 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 75 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 76 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 77 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
EPOCH 78 loss=6.0553 f1_rank=340 f2_rank=41 france_top1_moved=true heldout_nll=4.5955
EPOCH 79 loss=6.3401 f1_rank=254 f2_rank=38 france_top1_moved=true heldout_nll=4.7479
TRAIN done in 128.6s | 5000 token-forwards | 39 fwd_tok/s | final params: 49152 floats
RETENTION france_greedy=" located in Calais. Calais is home to Calais Cathedral, Calais Cathedral"
PERSIST delta_file=assets/gpt2-zephyr.delta.smt bytes=197264 reload_binding=ok fact1_rank_after_reload=2437 p=5.03e-5
BENCH_GPU prefill_tok_ms=2.20 decode_tok_ms_no_adapter=2.27 decode_tok_ms_with_adapter=2.29 adapter_overhead_us=21.8 launches_total=1745423
FINAL fact1_rank=2437 p=5.03e-5
RESULT {"acquired":false, "persisted":true, "final_heldout_nll":4.748, "base_heldout_nll":3.569, "status":"ok"}
